127.0.0.1 - - [28/Nov/2021:16:22:18 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/Nov/2021:16:22:23 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 366
0:0:0:0:0:0:0:1 - - [28/Nov/2021:16:22:25 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [28/Nov/2021:16:24:32 -0300] "POST /gerenciador/entrada HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:16:24:33 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 631
0:0:0:0:0:0:0:1 - - [28/Nov/2021:16:24:39 -0300] "GET /gerenciador/entrada?acao=MostraEmpresa&id=2 HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [28/Nov/2021:16:24:42 -0300] "POST /gerenciador/entrada HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:16:24:42 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [28/Nov/2021:16:24:46 -0300] "GET /gerenciador/entrada?acao=RemoveEmpresa&id=2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:16:24:46 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 446
0:0:0:0:0:0:0:1 - - [28/Nov/2021:16:24:57 -0300] "GET /gerenciador/entrada?acao=MostraEmpresa&id=3 HTTP/1.1" 200 451
0:0:0:0:0:0:0:1 - - [28/Nov/2021:16:25:02 -0300] "POST /gerenciador/entrada HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:16:25:02 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 440
192.168.1.10 - - [28/Nov/2021:16:26:35 -0300] "GET /gerenciador/formNovaEmpresa.jsp HTTP/1.1" 200 410
192.168.1.10 - - [28/Nov/2021:16:26:35 -0300] "GET /favicon.ico HTTP/1.1" 404 774
192.168.1.10 - - [28/Nov/2021:16:26:53 -0300] "POST /gerenciador/entrada;jsessionid=9CC732613340384444153B4420F45CF6 HTTP/1.1" 302 -
192.168.1.10 - - [28/Nov/2021:16:26:53 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 625
0:0:0:0:0:0:0:1 - - [28/Nov/2021:16:27:10 -0300] "POST /gerenciador/entrada HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:16:27:10 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 623
192.168.1.10 - - [28/Nov/2021:16:27:19 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 623
