127.0.0.1 - - [05/Dec/2021:17:08:48 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:09:06 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:09:07 -0300] "GET /gerenciador/entrada?acao=LoginForm HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:09:07 -0300] "GET /favicon.ico HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:09:19 -0300] "POST /gerenciador/entrada HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:09:19 -0300] "GET /gerenciador/entrada?acao=LoginForm HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:09:21 -0300] "POST /gerenciador/entrada HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:09:21 -0300] "GET /gerenciador/entrada?acao=LoginForm HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:09:25 -0300] "POST /gerenciador/entrada HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:09:26 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:09:38 -0300] "GET /gerenciador/entrada?acao=NovaEmpresaForm HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:09:44 -0300] "POST /gerenciador/entrada HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:09:44 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:21:32 -0300] "GET /gerenciador/entrada?acao=Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:21:32 -0300] "GET /gerenciador/entrada?acao=LoginForm HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:21:37 -0300] "POST /gerenciador/entrada HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:21:37 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:21:47 -0300] "GET /gerenciador/entrada?acao=Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:21:47 -0300] "GET /gerenciador/entrada?acao=LoginForm HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:22:22 -0300] "POST /gerenciador/entrada HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:22:22 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:22:40 -0300] "GET /gerenciador/entrada?acao=MostraEmpresa&id=1 HTTP/1.1" 200 499
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:22:48 -0300] "GET /gerenciador/entrada?acao=Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:22:48 -0300] "GET /gerenciador/entrada?acao=LoginForm HTTP/1.1" 200 359
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:22:54 -0300] "POST /gerenciador/entrada HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:22:54 -0300] "GET /gerenciador/entrada?acao=ListaEmpresas HTTP/1.1" 200 720
0:0:0:0:0:0:0:1 - - [05/Dec/2021:17:23:04 -0300] "GET /gerenciador/entrada?acao=NovaEmpresaForm HTTP/1.1" 200 423
